invoice_id,invoice_date,billing_phone
16,2021-09-10,250766666601
77,2023-01-18,250766666601
149,2023-04-08,250766666601
153,2024-02-19,250766666601
182,2020-07-07,250766666601
184,2024-01-28,250766666601
223,2022-02-23,250766666601
270,2022-09-15,250766666601
296,2021-06-12,250766666601
442,2022-06-19,250766666601
464,2022-10-12,250766666601
536,2022-05-04,250766666601
544,2023-02-25,250766666601
69,2023-03-23,250766666602
131,2023-12-01,250766666602
134,2022-03-01,250766666602
162,2023-04-01,250766666602
210,2022-02-25,250766666602
222,2023-05-24,250766666602
343,2021-12-29,250766666602
507,2021-02-17,250766666602
549,2021-06-18,250766666602
557,2023-09-09,250766666602
592,2021-01-15,250766666602
31,2021-04-10,250766666603
71,2020-08-14,250766666603
125,2023-02-17,250766666603
248,2020-05-24,250766666603
262,2020-06-14,250766666603
342,2020-10-18,250766666603
344,2020-04-20,250766666603
419,2020-03-07,250766666603
517,2022-11-14,250766666603
24,2020-12-21,250766666604
46,2022-05-09,250766666604
81,2021-11-26,250766666604
104,2022-04-24,250766666604
205,2023-02-08,250766666604
208,2022-10-06,250766666604
272,2023-02-02,250766666604
292,2021-01-08,250766666604
474,2022-12-12,250766666604
78,2023-07-04,250766666605
119,2024-02-22,250766666605
173,2020-11-01,250766666605
235,2022-08-07,250766666605
341,2022-04-15,250766666605
361,2022-03-02,250766666605
376,2021-11-10,250766666605
388,2022-09-25,250766666605
416,2020-08-22,250766666605
429,2022-01-12,250766666605
467,2020-04-20,250766666605
477,2024-01-15,250766666605
520,2020-11-20,250766666605
526,2022-02-14,250766666605
560,2022-11-10,250766666605
563,2023-12-02,250766666605
582,2022-07-09,250766666605
588,2020-03-02,250766666605
123,2022-05-14,250766666607
225,2021-12-24,250766666607
251,2022-02-11,250766666607
337,2022-09-27,250766666607
410,2021-06-05,250766666607
462,2022-08-15,250766666607
472,2021-08-11,250766666607
488,2020-06-20,250766666607
553,2022-10-01,250766666607
97,2023-01-05,250766666608
102,2022-06-14,250766666608
124,2021-06-24,250766666608
253,2023-12-08,250766666608
306,2021-06-27,250766666608
311,2022-06-15,250766666608
431,2022-02-18,250766666608
21,2023-12-17,250766666609
58,2023-12-31,250766666609
62,2020-07-13,250766666609
122,2023-09-11,250766666609
178,2022-01-21,250766666609
267,2023-10-26,250766666609
329,2023-06-14,250766666609
354,2020-03-14,250766666609
411,2020-05-17,250766666609
470,2023-10-16,250766666609
19,2023-12-07,250766666610
49,2023-04-01,250766666610
156,2022-06-17,250766666610
240,2020-10-16,250766666610
260,2021-03-23,250766666610
315,2023-12-22,250766666610
328,2023-01-07,250766666610
352,2022-06-02,250766666610
406,2020-07-26,250766666610
482,2022-03-24,250766666610
495,2023-07-21,250766666610
534,2023-01-31,250766666610
28,2020-08-10,250766666612
114,2022-06-10,250766666612
152,2022-09-28,250766666612
249,2022-04-29,250766666612
298,2020-07-24,250766666612
333,2021-07-14,250766666612
412,2022-06-03,250766666612
447,2021-03-23,250766666612
537,2023-11-23,250766666612
587,2022-06-30,250766666612
593,2021-08-01,250766666612
73,2021-04-28,250766666613
80,2024-01-10,250766666613
111,2023-04-27,250766666613
113,2023-04-03,250766666613
130,2021-09-23,250766666613
188,2023-09-25,250766666613
189,2023-05-31,250766666613
198,2022-11-10,250766666613
256,2022-12-29,250766666613
357,2024-02-10,250766666613
456,2021-05-21,250766666613
498,2023-04-14,250766666613
521,2022-08-07,250766666613
532,2022-05-31,250766666613
597,2021-11-10,250766666613
132,2023-03-29,250766666614
233,2020-09-23,250766666614
293,2021-11-22,250766666614
321,2022-03-01,250766666614
370,2022-06-14,250766666614
371,2024-02-19,250766666614
425,2020-07-08,250766666614
469,2022-08-08,250766666614
530,2020-09-13,250766666614
609,2023-01-19,250766666614
60,2023-06-22,250766666615
110,2023-05-10,250766666615
142,2020-05-26,250766666615
229,2020-07-05,250766666615
483,2022-02-10,250766666615
564,2023-10-27,250766666615
567,2022-11-09,250766666615
575,2022-05-04,250766666615
606,2023-07-26,250766666615
66,2021-11-24,250766666616
75,2021-02-20,250766666616
257,2020-04-10,250766666616
268,2023-11-20,250766666616
289,2023-08-19,250766666616
389,2020-11-27,250766666616
551,2022-10-04,250766666616
591,2021-12-28,250766666616
98,2022-07-04,250766666617
128,2020-10-03,250766666617
129,2021-03-05,250766666617
166,2021-04-10,250766666617
207,2021-12-19,250766666617
288,2021-08-27,250766666617
290,2021-01-25,250766666617
393,2020-06-11,250766666617
436,2021-05-09,250766666617
499,2020-12-07,250766666617
543,2020-12-31,250766666617
558,2021-08-04,250766666617
1,2020-12-14,250766666618
4,2021-03-01,250766666618
9,2023-04-23,250766666618
50,2022-06-26,250766666618
187,2022-07-22,250766666618
372,2020-07-01,250766666618
448,2022-07-25,250766666618
486,2020-11-16,250766666618
42,2024-01-22,250766666619
51,2021-01-17,250766666619
52,2023-08-13,250766666619
57,2020-10-18,250766666619
147,2020-06-03,250766666619
231,2022-07-22,250766666619
358,2023-09-02,250766666619
490,2021-10-29,250766666619
505,2020-11-01,250766666619
17,2020-05-14,250766666620
101,2022-09-20,250766666620
159,2021-05-08,250766666620
199,2022-12-10,250766666620
204,2021-12-28,250766666620
219,2022-12-12,250766666620
245,2022-05-11,250766666620
282,2021-05-05,250766666620
420,2022-03-17,250766666620
443,2024-01-01,250766666620
460,2024-01-06,250766666620
613,2021-02-27,250766666620
44,2022-03-12,250766666621
89,2020-12-01,250766666621
167,2023-11-09,250766666621
169,2024-03-19,250766666621
185,2023-03-25,250766666621
322,2023-10-12,250766666621
423,2021-02-05,250766666621
465,2020-11-06,250766666621
496,2024-03-24,250766666621
556,2022-07-25,250766666621
602,2022-05-10,250766666621
43,2023-06-13,250766666622
83,2022-02-12,250766666622
109,2020-09-15,250766666622
150,2022-10-14,250766666622
276,2021-12-12,250766666622
278,2022-04-06,250766666622
297,2023-02-01,250766666622
310,2021-02-01,250766666622
330,2020-12-04,250766666622
518,2022-02-20,250766666622
522,2020-05-04,250766666622
583,2021-10-12,250766666622
139,2021-11-22,250766666623
250,2021-04-27,250766666623
287,2023-01-17,250766666623
323,2020-09-04,250766666623
383,2023-07-27,250766666623
438,2024-02-21,250766666623
515,2021-10-13,250766666623
516,2023-07-05,250766666623
561,2021-03-01,250766666623
595,2022-12-05,250766666623
18,2023-10-01,250766666624
161,2020-05-01,250766666624
200,2020-10-07,250766666624
395,2020-08-03,250766666624
417,2022-09-15,250766666624
511,2021-11-02,250766666624
529,2021-12-03,250766666624
580,2024-03-06,250766666624
14,2023-04-23,250766666625
143,2023-05-07,250766666625
179,2022-02-01,250766666625
202,2020-12-20,250766666625
300,2023-11-14,250766666625
331,2023-04-10,250766666625
468,2021-03-02,250766666625
510,2020-05-31,250766666625
514,2023-07-10,250766666625
578,2023-08-10,250766666625
54,2023-08-25,250766666626
74,2022-06-09,250766666626
215,2022-03-01,250766666626
274,2023-02-01,250766666626
307,2023-09-21,250766666626
364,2022-05-04,250766666626
366,2020-10-13,250766666626
386,2023-04-14,250766666626
434,2024-03-28,250766666626
494,2022-01-08,250766666626
598,2023-11-29,250766666626
603,2022-07-09,250766666626
5,2020-07-07,250766666627
195,2023-08-01,250766666627
209,2023-10-29,250766666627
217,2021-09-13,250766666627
